4 , 5
0.4 , 2.375 - 0.4 , 2.425
0.8 , 2.375 - 0.8 , 2.425
1.6 , 2.375 - 2 , 2.375
1.6 , 2.425 - 2 , 2.425
1.6 , 2.375 - 1.6 , 2.425
2 , 2.375 - 2 , 2.425
2.4 , 2.375 - 3.2 , 2.375
2.4 , 2.425 - 3.2 , 2.425
2.4 , 2.375 - 2.4 , 2.425
3.2 , 2.375 - 3.2 , 2.425
4 , 2.375 - 4.4 , 2.375
4 , 2.425 - 4.4 , 2.425
4 , 2.375 - 4 , 2.425
4.4 , 2.375 - 4.4 , 2.425
0 , 2.775 - 4.4 , 2.775
0 , 2.825 - 4.4 , 2.825
0 , 2.775 - 0 , 2.825
4.4 , 2.775 - 4.4 , 2.825
0.025 , 0 - 0.025 , 2.8
-0.025 , 0 - -0.025 , 2.8
0.025 , 0 - -0.025 , 0
0.025 , 2.8 - -0.025 , 2.8
0.425 , 0 - 0.425 , 0.4
0.375 , 0 - 0.375 , 0.4
0.425 , 0 - 0.375 , 0
0.425 , 0.4 - 0.375 , 0.4
0.425 , 0.8 - 0.425 , 1.2
0.375 , 0.8 - 0.375 , 1.2
0.425 , 0.8 - 0.375 , 0.8
0.425 , 1.2 - 0.375 , 1.2
0.425 , 1.6 - 0.425 , 2.4
0.375 , 1.6 - 0.375 , 2.4
0.425 , 1.6 - 0.375 , 1.6
0.425 , 2.4 - 0.375 , 2.4
0.825 , 0.8 - 0.825 , 1.2
0.775 , 0.8 - 0.775 , 1.2
0.825 , 0.8 - 0.775 , 0.8
0.825 , 1.2 - 0.775 , 1.2
0.825 , 2 - 0.825 , 2.4
0.775 , 2 - 0.775 , 2.4
0.825 , 2 - 0.775 , 2
0.825 , 2.4 - 0.775 , 2.4
1.225 , 0.4 - 1.225 , 1.2
1.175 , 0.4 - 1.175 , 1.2
1.225 , 0.4 - 1.175 , 0.4
1.225 , 1.2 - 1.175 , 1.2
1.225 , 2 - 1.225 , 2.8
1.175 , 2 - 1.175 , 2.8
1.225 , 2 - 1.175 , 2
1.225 , 2.8 - 1.175 , 2.8
1.625 , 0.4 - 1.625 , 0.8
1.575 , 0.4 - 1.575 , 0.8
1.625 , 0.4 - 1.575 , 0.4
1.625 , 0.8 - 1.575 , 0.8
1.625 , 1.6 - 1.625 , 2.4
1.575 , 1.6 - 1.575 , 2.4
1.625 , 1.6 - 1.575 , 1.6
1.625 , 2.4 - 1.575 , 2.4
2.025 , 0 - 2.025 , 0.8
1.975 , 0 - 1.975 , 0.8
2.025 , 0 - 1.975 , 0
2.025 , 0.8 - 1.975 , 0.8
2.025 , 2 - 2.025 , 2.4
1.975 , 2 - 1.975 , 2.4
2.025 , 2 - 1.975 , 2
2.025 , 2.4 - 1.975 , 2.4
2.425 , 1.2 - 2.425 , 2.4
2.375 , 1.2 - 2.375 , 2.4
2.425 , 1.2 - 2.375 , 1.2
2.425 , 2.4 - 2.375 , 2.4
2.825 , 0.4 - 2.825 , 1.6
2.775 , 0.4 - 2.775 , 1.6
2.825 , 0.4 - 2.775 , 0.4
2.825 , 1.6 - 2.775 , 1.6
3.225 , 0.4 - 3.225 , 0.8
3.175 , 0.4 - 3.175 , 0.8
3.225 , 0.4 - 3.175 , 0.4
3.225 , 0.8 - 3.175 , 0.8
3.225 , 1.2 - 3.225 , 2.4
3.175 , 1.2 - 3.175 , 2.4
3.225 , 1.2 - 3.175 , 1.2
3.225 , 2.4 - 3.175 , 2.4
3.625 , 0.4 - 3.625 , 1.6
3.575 , 0.4 - 3.575 , 1.6
3.625 , 0.4 - 3.575 , 0.4
3.625 , 1.6 - 3.575 , 1.6
3.625 , 2 - 3.625 , 2.8
3.575 , 2 - 3.575 , 2.8
3.625 , 2 - 3.575 , 2
3.625 , 2.8 - 3.575 , 2.8
4.025 , 0 - 4.025 , 0.8
3.975 , 0 - 3.975 , 0.8
4.025 , 0 - 3.975 , 0
4.025 , 0.8 - 3.975 , 0.8
4.425 , 0.8 - 4.425 , 2
4.375 , 0.8 - 4.375 , 2
4.425 , 0.8 - 4.375 , 0.8
4.425 , 2 - 4.375 , 2
4.425 , 2.4 - 4.425 , 2.8
4.375 , 2.4 - 4.375 , 2.8
4.425 , 2.4 - 4.375 , 2.4
4.425 , 2.8 - 4.375 , 2.8
4.825 , 0 - 4.825 , 2.8
4.775 , 0 - 4.775 , 2.8
4.825 , 0 - 4.775 , 0
4.825 , 2.8 - 4.775 , 2.8
